date,mobil2_pm10,abyvallen_winddir,mobil_2_lat,risholmen_globrad,femman_lat,mobil_3_lat,mobil2_no2,risholmen_airpressure,lejonet_temp,risholmen_temp,lejonet_rh,risholmen_rh,mobil_1_long,abyvallen_airpressure,mobil3_pm10,haga_sodra_lat,mobil_1_lat,abyvallen_rh,abyvallen_lat,abyvallen_rain,femman_rain,lejonet_windspeed,femman_o3,mobil3_no2,haga_sodra_long,femman_winddir,hagasodra_pm25,haganorra_no2,abyvallen_temp,risholmen_long,mobil_1_pm10_fid,index,risholmen_windspeed,femman_pm25,mobil_2_long,mobil_1_pm25_fid,abyvallen_long,femman_long,femman_no2,mobil1_nox,lejonet_winddir,femman_airpressure,abyvallen_windspeed,haga_norra_lat,haga_norra_long,mobil2_nox,hagasodra_pm10,lejonet_rain,risholmen_rain,femman_nox,femman_windspeed,mobil3_nox,femman_pm10,femman_temp,haganorra_nox,lejonet_globrad,risholmen_lat,femman_rh,lejonet_airpressure,lejonet_long,abyvallen_globrad,risholmen_winddir,mobil2_pm25,time,mobil_3_long,lejonet_lat,femman_globrad,mobil1_no2,mobil1_pm10,submited by,femman_lat2
2024/02/09,4.46362,64.5699,57.7253,124.4,57.7088,57.7084,18.228,1002.85,-3.122,-3.132,86.9,77.4301,11.9568,1002.35,            ,57.698,57.6938,83.9,57.6447,0.0,0.0,2.91,42.4155,            ,11.9605,65.59,3.1034,     15.8428,-3.314,11.7975,4.29401,1,6.368,4.08389,11.9453,3.42591,12.0021,11.9705,15.3629,     18.3156,59.34,1000.2,4.084,57.6992,11.9607,30.3067,4.04124,0,0.0,21.4844,4.212,            ,5.49443,-3.089,     22.2376,127.3,57.6923,75.91,1003,11.9923,138.9,77.5,3.43847,11:00+01:00,11.9756,57.7157,128.4,     15.6094,4.66655,Robert Johansson,57.7088
2024/02/09,3.57322,61.47,57.7253,146.3,57.7088,57.7084,15.6499,1002.71,-2.877,-3.053,80.8,74.83,11.9568,1001.89,            ,57.698,57.6938,81.4,57.6447,0.0,0.0,3.159,58.9758,            ,11.9605,62.7,2.5138,     11.1228,-3.221,11.7975,4.8847,1,6.953,3.11372,11.9453,2.987,12.0021,11.9705,8.39615,     17.8937,55.93,999.747,4.361,57.6992,11.9607,27.9189,3.36392,0,0.0,10.6592,4.36,            ,3.8423,-2.896,      14.998,128.2,57.6923,70.46,1002,11.9923,137.7,91.2,2.59998,12:00+01:00,11.9756,57.7157,128.0,     14.9657,0.03255,Felicia Toll,57.7088
2024/02/09,4.22202,58.98,57.7253,140.7,57.7088,57.7084,23.1686,1002.05,-2.589,-2.815,78.72,71.59,11.9568,1001.17,            ,57.698,57.6938,78.29,57.6447,0.0,0.0,3.369,67.3923,            ,11.9605,61.08,1.7449,     7.83926,-2.814,11.7975,3.47177,1,5.55,2.96517,11.9453,2.0568,12.0021,11.9705,8.46121,     13.4026,49.53,999.175,4.23,57.6992,11.9607,40.4583,3.39857,0,0.0,12.0107,4.461,            ,3.75045,-2.558,     11.3296,129.5,57.6923,67.74,1002,11.9923,128.6,75.01,2.22777,13:00+01:00,11.9756,57.7157,125.6,     12.5111,1.02542,Jenny Hassan,57.7088
2024/02/09,3.25991,60.55,57.7253,117.2,57.7088,57.7084,15.7977,1001.32,-2.221°C,-2.569,74.48,68.5601,11.9568,1000.48,            ,57.698,57.6938,76.49,57.6447,0.0,0.0,3.871,65.3317,            ,11.9605,58.77,1.48598,     7.99914,-2.434,11.7975,3.52865,1,6.41,2.69412,11.9453,1.87592,12.0021,11.9705,10.035,     14.6938,45.79,998.377,4.465,57.6992,11.9607,29.0882,2.79198,0,0.0,14.1838,5.245,            ,3.89417,-2.205,      10.476,104.5,57.6923,64.88,1001,11.9923,100.5,66.3199,1.84818,14:00+01:00,11.9756,57.7157,104.8,     13.1867,2.62494,Adam Smith,57.7088
2024/02/09,2.8033,58.82,57.7253,66.23,57.7088,57.7084,13.3858,1000.81,-2.175,-2.248,75.6901,68.53,11.9568,1000.46,            ,57.698,57.6938,79.67,57.6447,0.0,0.0,4.037,72.2712,            ,11.9605,64.92,1.3485,     8.90384,-2.451,11.7975,2.87038,1,6.85,2.33437,11.9453,1.67015,12.0021,11.9705,7.44461,     9.92361,48.58,998.305,4.783,57.6992,11.9607,22.1628,2.71295,0,0.0,9.14622,5.654,            ,4.37598,-2.098,     12.2164,58.77,57.6923,66.63,1001,11.9923,61.45,69.17,1.43018,15:00+01:00,11.9756,57.7157,56.92,     9.43535,0.452283,Jenny Hassan,57.7088
2024/02/09,2.69489,55.3,57.7253,24.49,57.7088,57.7084,15.3746,1000.8,-2.439,-2.273,79.7,71.01,11.9568,1000.39,            ,57.698,57.6938,82.5,57.6447,0.0,0.0,4.402,71.5848,            ,11.9605,60.97,1.35385,     9.11681,-2.738,11.7975,3.55038,1,6.851,2.49373,11.9453,1.78668,12.0021,11.9705,8.80168,      10.379,43.52,998.241,4.326,57.6992,11.9607,25.9135,2.27048,0,0.0,10.0857,5.866,            ,4.80925,-2.302,     11.9729,10.71,57.6923,69.97,1001,11.9923,10.74,68.7,1.4046,16:00+01:00,11.9756,57.7157,10.74,     9.74226,3.41457,Robert Johansson,57.7088
2024/02/09,3.27548,50.98,57.7253,0.098,57.7088,57.7084,13.9538,1000.35,-2.584,-2.433,81.4,73.78,11.9568,1000.12,            ,57.698,57.6938,83.7,57.6447,0.0,0.0,4.272,68.979,            ,11.9605,53.29,1.66095,     9.12984,-2.941,11.7975,3.25481,1,8.35001,2.99738,11.9453,2.02612,12.0021,11.9705,9.71207,     10.8663,43.8,997.967,4.574,57.6992,11.9607,22.331,2.6226,0,0.0,11.2033,6.06,            ,4.85516,-2.526,     10.8284,0.0,57.6923,71.3101,1000,11.9923,0.332,66.4,1.63912,17:00+01:00,11.9756,57.7157,0.0,      10.227,4.1052,Robert Johansson,57.7088
2024/02/09,3.11258,55.97,57.7253,0.0,57.7088,57.7084,11.4696,1000.26,-3.012,-2.563,80.9,73.04,11.9568,1000.34,            ,57.698,57.6938,84.1,57.6447,0.0,0.0,4.679,68.8662,            ,11.9605,61.39,2.12592,     9.34468,-3.176,11.7975,4.1137,1,8.93001,2.35658,11.9453,2.53658,12.0021,11.9705,8.80396,     8.37402,54.86,998.226,5.114,57.6992,11.9607,18.9839,3.41332,0,0.0,9.67467,5.925,            ,3.4859,-2.931,     11.0208,0.0,57.6923,71.39,1001,11.9923,0.332,69.88,1.83505,18:00+01:00,11.9756,57.7157,0.0,      8.0356,0.785267,Jenny Hassan,57.7088
2024/02/09,2.63167,57.24,57.7253,0.0,57.7088,57.7084,9.95921,1000.32,-3.171,-2.963,82.7,74.77,11.9568,1000.15,            ,57.698,57.6938,84.9,57.6447,0.0,0.0,3.848,72.5964,            ,11.9605,61.74,2.1182,     6.87592,-3.24,11.7975,4.25603,1,9.25,3.45905,11.9453,2.72025,12.0021,11.9705,5.97771,     8.46854,52.84,998.029,4.487,57.6992,11.9607,16.0016,2.99935,0,0.0,5.85278,5.603,            ,4.74913,-3.042,     7.89614,0.0,57.6923,72.92,1000,11.9923,0.332,69.37,1.83243,19:00+01:00,11.9756,57.7157,0.0,     8.65347,3.49443,Felicia Toll,57.7088
2024/02/09,2.37212,56.94,57.7253,0.0,57.7088,57.7084,6.02495,1000.2,-3.12,-2.962,84.0,76.0601,11.9568,999.915,            ,57.698,57.6938,84.0,57.6447,0.0,0.0,4.101,72.8202,            ,11.9605,49.8,2.31603,      5.7473,-2.88,11.7975,4.61913,1,8.75999,3.01135,11.9453,3.54943,12.0021,11.9705,4.95396,     7.95029,35.17,997.793,4.543,57.6992,11.9607,8.64162,3.1276,0,0.0,4.74767,5.275,            ,4.3025,-3.004,     6.83333,0.0,57.6923,74.52,1000,11.9923,0.332,68.08,1.81213,20:00+01:00,11.9756,57.7157,0.0,     8.52583,3.57047,Felicia Toll,57.7088
